Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class
0.64646,0.21894,0.59725,3.7279,123.85,0,0.64646,3.5674,2.3671,0.78106,0.64726,2.9526,0.2894,0.64646,116.65,3.1289,4.5674,0.64646,0.2731,2.115,1.1039,0.64616,0.2731,1.1944,0.56857,3.1289,805.87,3.2493,3.4344,0.06294,0.27344,46.389,7.8682,7.8682,0.64442,2.3671,,0.78106,0.27224,0.33845,0.010658,0.27297,114.43,112.31,47.13,3.6652,2.9062,0.60756,0.25667,3.7279,0.21894,0.12709,4.2493,4.2493,1623.8,0.27224,0.82768,0.72737,0,172.58,3.2499,33.76,10.812,12.878,0
0.17427,0.73512,0.07721,1.105,-15.285,0.65738,0.21913,0.33478,1.0848,0.2461,0.21913,0.29808,0.095551,0.21913,1049.3,0.34786,1.3603,0.21913,0.081879,24.057,0.90531,0.22963,0.065116,0.81691,0.2461,0.28683,0.93076,0.41142,4.1886,0.26267,0.081879,108.76,3.3561,0.31237,0.22963,2.7107,,0.2461,0.085804,0.049206,0.090783,0.085804,105.86,81.799,0.98794,0.86508,26.096,0.19304,0.072132,1.105,0.73512,0.29796,1.3114,1.3114,1191.9,0.078133,0.7081,0.92187,0,15.172,4.4622,100.26,3.6406,14.261,0
-0.16437,0.67582,-0.12655,0.75663,-63.788,0,-0.15423,0.47986,1.3024,0.3243,-0.11197,-0.2966,-0.042417,-0.15423,-4465,-0.081746,1.4797,-0.15423,-0.11842,29.273,,-0.11209,-0.1262,-0.15423,0.039526,-0.096747,-2.6523,-0.20864,3.9434,0.51767,-0.099878,134.02,2.7235,2.0956,-0.11379,1.3024,1.9133,0.47534,-0.087371,0.007667,-1.7197,-0.086059,109.14,79.87,-1.5736,0.55575,26.921,-0.21107,-0.16206,0.58217,0.51999,0.36717,0.53465,0.78366,-1111,-0.087371,-0.50685,1.1182,0.46575,12.469,4.5699,145.73,2.5047,2.1472,0
0.11218,0.53421,0.33378,1.7155,-26.167,0.041416,0.13412,0.87193,2.8001,0.46579,0.18663,0.28749,0.068196,0.13412,1021.1,0.35745,1.8719,0.13412,0.0479,67.153,1.1863,0.14259,0.040062,0.14936,0.4617,0.31637,2.7155,1.6714,4.6893,0.18613,0.052986,64.206,5.6848,4.9645,0.14797,2.8001,4.4347,0.53009,0.052846,0.043509,0.089292,0.050925,101.68,34.524,0.21775,0.61122,70.899,0.085764,0.030629,1.4981,0.46652,0.17591,2.3325,2.6544,16323,0.052846,0.24083,0.95384,0.13804,5.4354,10.572,60.813,6.002,14.021,0
0.13546,0.35016,0.32469,2.0713,19.818,0.20109,0.17649,1.806,1.0975,0.63238,0.17649,0.58232,0.10626,0.17649,530,0.68868,2.8558,0.17649,0.077768,33.749,1.0664,0.19422,0.059689,0.26921,0.63238,0.57151,0.93921,0.87228,4.5009,0.15093,0.077768,53.497,6.8228,0.55466,0.19422,2.2762,8.8784,0.67945,0.085578,0.040201,0.04447,0.085578,99.005,65.256,0.64556,1.3789,37.038,0.12956,0.057089,1.7928,0.30309,0.14657,1.6989,1.8254,10290,0.088826,0.21421,0.91117,0.074439,10.815,5.5933,48.745,7.4879,6.097,0
0.32984,0.64486,0.31387,1.5004,11.846,0,0.40844,0.55073,3.2349,0.35514,0.41821,0.65122,0.13642,0.40844,533.36,0.68434,1.5507,0.40844,0.12626,24.548,,0.41729,0.10196,0.40844,0.3421,0.56245,42.703,5.3261,3.5835,0.13849,0.12651,80.924,4.5104,4.3869,0.40591,3.2349,,0.35514,0.12548,0.32075,0.047752,0.129,83.485,58.937,1.5161,1.1536,28.07,0.38443,0.11884,1.4593,0.6272,0.22171,6.0265,6.0265,1202.9,0.12548,0.92876,0.87449,0,14.869,6.193,70.769,5.1576,54.893,0
0.022584,0.46788,0.11531,1.3544,-110.1,-0.004317,0.030656,1.1373,0.63428,0.53211,0.056874,0.094208,0.063246,0.030656,4257.1,0.08574,2.1373,0.030656,0.048331,141.99,1.255,0.050836,0.035605,0.12291,0.46532,0.068487,1.9389,0.20619,5.6843,0.71462,0.064414,266.97,1.4117,0.98184,0.1894,0.63428,1.3978,0.67088,0.2986,0.050222,0.25866,0.080147,244.21,102.22,0.091525,0.59609,196.05,0.041376,0.065232,0.94195,0.32541,0.70835,0.95143,1.1995,1.3544,0.2986,0.042442,0.74801,0.26079,2.5705,3.5709,187.26,1.9492,1.1341,0
0.15872,0.6629,-0.29653,0.43738,-66.306,0.17099,0.15872,0.50853,2.1915,0.3371,0.15872,0.30116,0.072426,0.15872,1524.4,0.23944,1.5085,0.15872,0.072426,2.5075,0.94214,0,0.072426,0.37069,0.28777,0.23944,,-0.38536,3.8912,0.29652,0.14485,112.54,3.2434,2.5787,0.042616,2.1915,2.9856,0.40927,0.019446,0.031012,,0,35.671,33.163,10.543,0.40881,3.2146,0,0,0.34774,0.52705,0.30832,0.43809,0.53188,-2308,0.21998,0.47085,0.77383,0.21408,145.56,11.006,87.781,4.1581,2.848,0
0.056785,0.49024,0.29011,1.5918,-50.783,-0.01492,0.072082,1.0398,3.3229,0.50976,0.089752,0.14703,0.038115,0.072082,1412.8,0.25835,2.0398,0.072082,0.021692,76.324,,0.088098,0.017089,0.072082,0.041866,0.22715,4.9856,1.3208,3.2163,0.14753,0.021692,55.291,6.6014,6.6014,0.086669,3.3229,,0.50976,0.026082,0.089933,0.11454,0.026512,80.873,4.5494,0.081724,0.17442,78.368,0.033526,0.010089,1.5918,0.49024,0.15148,2.3208,2.3208,477.43,0.026082,0.1114,0.97838,0,4.7823,80.231,53.849,6.7782,15.128,0
0.099137,0.76182,0.27091,1.3761,16.677,0,0.12261,0.31265,3.3715,0.23818,0.13079,0.17021,0.045338,0.12261,1819.1,0.20065,1.3127,0.12261,0.036365,12.021,1.5031,0.13054,0.029404,0.15862,0.20225,0.16984,15.958,30.958,3.7455,0.20201,0.036591,81.164,4.4971,4.2522,0.1321,3.3715,,0.23818,0.039181,0.12765,0.15793,0.038718,97.358,85.337,0.89282,1.2219,12.511,0.10029,0.029745,1.3012,0.72034,0.22237,27.218,27.218,1507.6,0.039181,0.41622,0.9637,0,30.364,4.2772,77.984,4.6805,385.27,0
0.091318,0.38954,0.22148,1.634,20.892,0,0.11606,1.5671,3.204,0.61046,0.17687,0.33224,0.047644,0.11606,931.43,0.39187,2.5671,0.11606,0.036223,5.0619,1.3222,0.155,0.028502,0.22271,0.41465,0.32837,2.5489,0.51601,3.4071,0.11711,0.039274,41.82,8.728,7.8266,0.15519,3.204,13.084,0.65069,0.048438,0.047389,0.067772,0.048377,63.139,58.077,2.0552,1.5068,5.3196,0.11841,0.036956,1.4653,0.34931,0.11457,1.4223,1.516,565.54,0.048438,0.14959,0.96403,0.065901,72.108,6.2847,39.794,9.1722,7.4647,0
0.11696,0.19323,0.64181,4.6033,53.858,0,0.14669,4.1753,1.7678,0.80677,0.16886,0.82353,0.095796,0.14669,416.47,0.87642,5.1753,0.14669,0.082977,83.465,0.97869,0.16813,0.066161,0.31603,0.79459,0.72257,7.5824,3.5643,3.6132,0.019848,0.084907,40.611,8.9877,8.285,0.16691,1.7678,,0.80677,0.094418,0.89603,0.033759,0.095107,136.34,52.876,0.28933,2.3338,92.167,0.14547,0.082288,4.2434,0.17812,0.11126,4.4804,4.4804,2634,0.094418,0.14497,0.91726,0,4.3731,6.9029,36.777,9.9248,9.8173,0
-0.01377,0.27846,0.23683,4.7733,1.0554,-0.01377,-0.013624,2.5908,0.99864,0.72143,-0.013624,-0.21706,0.032521,-0.013624,3323.3,0.10983,3.5912,-0.013624,-0.014486,75.704,,-0.001424,-0.014642,-0.013624,0.72143,0.10931,-0.015123,0.33814,4.8454,0.29217,-0.014486,24.327,15.004,-0.005114,-0.001424,0.94522,0.48469,0.93713,-0.001514,0.68258,0.21398,-0.001514,99.652,23.947,-0.070593,1.6656,75.601,-0.045631,-0.048521,1.0759,0.062765,0.066649,1.03,1.338,16590,-0.00136,-0.019086,1.0014,0.29898,4.8214,15.242,24.36,14.983,1.3427,0
0.11918,0.34247,0.25759,1.9436,25.571,0.35289,0.15106,1.9143,1.1526,0.65561,0.15106,0.55333,0.16109,0.15106,619.57,0.58912,2.9199,0.15106,0.12061,48.562,1.1681,0.16357,0.095159,0.4422,0.65561,0.49603,1.5053,0.54874,4.6353,0.16027,0.12061,91.7,3.9804,0.4776,0.16357,1.2559,5.2385,0.72509,0.1306,0.58287,0.052549,0.1306,108.26,59.696,0.71524,1.3332,55.971,0.11287,0.09012,1.5493,0.273,0.25123,1.3967,1.5447,11123,0.13238,0.18178,0.86762,0.10597,7.5162,6.1143,79.561,4.5877,2.6681,0
-0.13939,0.62068,0.38182,1.9249,60.024,0,-0.13939,0.61114,1.6652,0.37932,-0.13476,-0.33765,-0.06444,-0.13939,-2111.2,-0.17289,1.6111,-0.13939,-0.083708,6.7983,0.98934,-0.13654,-0.083708,0.18477,0.33797,-0.17289,-29.462,1.8594,3.4479,0.31064,-0.081781,82.52,4.4231,2.942,-0.16114,1.6652,5.3284,0.52264,-0.096767,0.37565,-0.19807,-0.081995,140.19,133.39,-4.4943,1.8497,6.1997,-0.16863,-0.10126,1.2803,0.41283,0.22608,1.8472,2.5451,1071,-0.096553,-0.36748,1.0819,0.37782,53.69,2.7364,90.488,4.0337,8.1094,0
0.003274,0.19519,0.31358,2.6322,8.1467,-0.03102,0.002142,3.5099,0.99139,0.68511,0.002142,0.011148,0.057225,0.002142,969.86,0.37634,5.1231,0.002142,0.001669,80.586,1.022,-0.007707,0.002551,-0.033242,0.68511,0.38215,-0.059517,0.63442,5.3633,0.13836,0.001669,54.158,6.7395,-0.039482,-0.007707,1.3073,72.47,0.68818,-0.006003,0.10439,0.10088,-0.006003,138.09,57.502,0.011553,1.157,79.892,-0.079025,-0.06156,2.5908,0.19213,0.14838,1.3861,1.3923,72393,-0.008686,0.004779,1.0087,0.004477,4.5293,6.3476,54.628,6.6815,2.5971,0
0.16883,0.3829,0.1704,1.445,-17.696,0.30862,0.20677,1.4865,1.0732,0.56917,0.20677,0.54001,0.094466,0.20677,579.7,0.62964,2.6116,0.20677,0.081018,40.663,1.3376,0.213,0.066153,0.38011,0.56917,0.53056,0.89569,0.38145,4.3226,0.13307,0.081018,58.77,6.2107,0.55628,0.213,2.6576,,0.56917,0.08346,0.11642,0.050899,0.08346,72.756,32.092,0.5938,0.70245,43.64,0.17868,0.070012,1.445,0.3829,0.16101,1.2741,1.2741,3581.7,0.068203,0.29663,0.9318,0,8.9761,11.373,54.762,6.6653,5.7133,0
-0.012424,0.76756,0.20936,1.2883,3.2585,0.25006,-0.012424,0.2254,1.0033,0.17301,-0.012424,-0.017111,0.002236,-0.012424,20077,0.01818,1.3028,-0.012424,-0.001991,8.944,0.96672,0.021,-0.001991,0.25006,0.17301,0.01818,0.03377,3.2419,4.3339,0.11989,-0.001991,42.617,8.5647,0.02736,0.021,6.2519,18.86,0.2145,0.003366,0.027455,0.53262,0.003366,53.556,44.612,-0.081261,1.0778,8.9739,-0.005378,-0.000862,1.2187,0.72607,0.11676,2.6791,3.3216,4516,0.003329,-0.071811,0.99667,0.23982,40.809,8.1817,42.475,8.5933,96.618,0
-0.001412,0.61258,0.20394,1.3525,-59.468,0,-0.001412,0.63243,1.2275,0.38742,0.015091,-0.002441,0.031662,-0.001412,5753.1,0.063445,1.6324,-0.001412,-0.001151,114.97,0.99802,0.013183,-0.001151,0.005471,0.36205,0.063445,0.79884,0.93745,3.6821,0.4661,0.008822,159.65,2.2862,2.159,-0.095088,1.2275,,0.38742,-0.077466,0.1203,0.38195,0.01074,211.97,97.005,-0.003653,0.68421,106.7,-0.027094,-0.022073,1.2773,0.5785,0.43741,1.7808,1.7808,980.84,-0.077466,-0.003645,1.001,0,3.1748,3.7627,172.02,2.1218,5.6422,0
0.017596,0.69491,0.0054,1.0243,-33.763,0.052962,0.020427,0.39201,1.0207,0.27241,0.020427,0.09192,0.043165,0.020427,4208.8,0.086724,1.439,0.020427,0.014631,34.647,1.1103,0.034434,0.012603,0.063256,0.27241,0.08265,0.25173,0.006991,4.3229,0.47963,0.014631,59.298,6.1554,0.049552,0.034434,1.4204,0.20119,0.74509,0.024663,0.10215,0.3076,0.024663,53.574,18.927,0.13277,0.42793,35.363,-0.005404,-0.003871,0.32756,0.22223,0.16246,0.35269,0.96467,113.58,0.020243,0.064594,0.97976,1.7352,10.535,19.284,58.097,6.2826,1.8076,0
0.25096,0.59849,0.001956,1.0034,-76.112,0.39733,0.30866,0.67086,1.2207,0.40151,0.30866,0.53194,0.18319,0.30866,707.54,0.51587,1.6709,0.30866,0.18314,63.602,1.1777,0.30688,0.1489,0.49224,0.40151,0.41946,2.2228,0.004683,4.712,0.29443,0.18314,153.4,2.3794,0.51276,0.30688,1.7236,15.813,0.41975,0.18209,0.17653,0.064099,0.18209,103.91,40.304,0.85453,0.49725,77.639,0.30679,0.18203,0.97278,0.58025,0.42027,0.96101,1.0047,100.81,0.1808,0.62504,0.8192,0.045443,5.7388,9.0563,125.67,2.9045,4.0339,0
0.35117,0.43471,0.20038,1.4695,37.971,0,0.43771,1.3004,2.0252,0.56529,0.44139,1.0255,0.23365,0.43771,335.31,1.0886,2.3004,0.43771,0.21612,3.7229,,0.4345,0.17339,0.43771,0.42621,0.88948,117.82,0.53751,3.7301,0.2146,0.2178,97.125,3.7581,3.6899,0.4212,2.0252,,0.56529,0.20798,0.033696,0.03083,0.21454,110.45,106.72,17,1.4211,4.7004,0.399,0.19701,1.4428,0.42683,0.2661,1.5164,1.5164,1076.2,0.20798,0.62122,0.78712,0,98.043,3.4201,76.925,4.7449,5.4326,0
0.26704,0.85482,0.07172,1.2464,-1.1419,0,0.26704,0.16984,1.8974,0.14518,0.26915,0.91747,0.14765,0.26704,1113.7,0.32773,1.1698,0.26704,0.14074,10.545,,0,0.14074,0.26704,0.13561,0.32773,0,0.11255,3.7179,0.41942,0.28148,83.926,4.3491,1.4809,0.039811,1.8974,0.54938,0.70576,0.020981,0.27446,2.1744,0,54.42,43.875,4.8716,1.0581,15.806,-0.013104,-0.006907,0.4244,0.29106,0.22993,0.22784,1.1076,374.61,0.33285,1.8394,0.67058,3.8612,34.614,8.319,55.991,6.5189,2.9777,0
0.28071,0.11712,0.86687,8.4013,193.98,0,0.34359,7.538,1.9311,0.88288,0.34392,2.9336,0.19043,0.34359,116.25,3.1398,8.538,0.34359,0.17792,1.0035,0.97087,0.31653,0.14536,0.71682,0.86253,2.6029,969.7,54.142,3.3904,-0.37137,0.17798,26.408,13.822,13.822,0.31226,1.9311,,0.88288,0.1617,7.1424,0.01146,0.16391,27.87,26.866,52.875,8.356,1.197,0.29238,0.1514,8.4013,0.11712,0.07235,55.142,55.142,2129.8,0.1617,0.31795,0.82507,0,363.74,13.586,22.138,16.488,120.61,0
0.035926,0.8228,-0.037152,0.93317,-114.85,0,0.046582,0.21536,1.2385,0.1772,0.080583,0.083794,0.060568,0.046582,4003.6,0.091168,1.2154,0.046582,0.037612,95.954,1.2418,0.0454,0.029008,0.075179,0.17283,0.078217,1.3352,-0.077202,4.8062,0.64634,0.062102,170.17,2.1449,1.4492,0.046118,1.2385,0.75266,0.43386,0.037237,0.055578,0.37148,0.036657,143.78,47.826,0.11034,0.34749,99.666,0.016969,0.013701,0.63049,0.55592,0.46623,0.36822,0.90156,-2377.9,0.037237,0.20274,0.96344,1.4484,3.8039,7.6318,163.84,2.2278,2.5736,0
0.085195,0.20364,0.4885,3.3988,53.414,0,0.12888,3.9106,2.2515,0.79636,0.25344,0.63289,0.38496,0.12888,85.757,4.2562,4.9106,0.12888,0.057242,7.8255,1.0411,0.17514,0.037839,0.51265,0.69174,4.0417,1.4061,1.5868,3.3783,0.090446,0.05725,34.168,10.682,10.682,0.076147,2.2515,,0.79636,0.03382,1.1144,0.007435,0.077788,75.415,67.589,1.7649,3.1618,8.0994,-0.56272,-0.24993,3.3988,0.20364,0.093612,2.5868,2.5868,1167.4,0.03382,0.10698,0.94978,0,46.643,5.4003,33.013,11.056,7.3135,0
-0.044462,0.76646,0.21981,1.4223,-14.025,-0.000534,-0.04436,0.3047,2.5792,0.23354,-0.042499,-0.085225,-0.013416,-0.04436,-8084.7,-0.045147,1.3047,-0.04436,-0.017199,43.818,,-0.072245,-0.017239,-0.04436,0.084777,-0.04528,-38.806,0.84644,3.9067,0.29052,-0.016477,72.312,5.0476,3.4278,-0.048071,2.5792,,0.23354,-0.018638,0.056262,-0.40886,-0.02801,100.62,56.804,-0.1436,0.82743,43.016,-0.082002,-0.031793,0.96589,0.52051,0.19811,0.89933,0.89933,1773.1,-0.018638,-0.19038,1.0168,0,8.33,6.4256,73.66,4.9552,9.9321,0
0.007996,0.74421,0.004278,1.0057,-56.808,0.033146,0.005278,0.1949,1.0095,0.14505,0.005278,0.007092,0.040909,0.005278,6439,0.056686,1.3437,0.005278,0.005118,56.364,2.0097,0.01126,0.007754,0.040723,0.14505,0.060339,0.11023,0.017008,5.2361,0.70329,0.005118,265.91,1.3726,0.01513,0.01126,1.0444,,0.14505,0.010919,0.026036,0.50795,0.010919,258.07,201.71,0.050215,0.79177,56.898,-0.025648,-0.024872,1.0057,0.74421,0.72853,0.57669,0.57669,736.7,0.009391,0.055128,0.99061,0,6.4758,1.8096,263.42,1.3856,4.1,0
-0.10704,1.0963,-0.2876,0.3958,-245.99,-0.075132,-0.10704,-0.087821,0.45475,-0.096277,-0.073802,-0.22487,-0.077086,-0.10704,-11415,-0.031976,0.91218,-0.10704,-0.23539,61.361,,-0.15784,-0.23539,-0.10704,-0.09958,-0.031976,-4.7483,-0.35437,4.18,2.4042,-0.18456,279.52,1.3058,0.56699,-0.16683,0.45475,0.18057,0.52376,-0.36687,0.030418,-0.42566,-0.34709,139.6,78.24,-1.4002,0.2352,44.892,-0.22983,-0.50539,0.17186,0.47601,0.76581,-0.11863,0.64535,-4352.6,-0.36687,1.1118,1.195,-6.4401,5.9484,4.6651,382.07,0.95533,0.56032,0
0.24201,0.75162,0.18041,1.2409,22.097,0,0.28122,0.33046,2.896,0.24838,0.3515,0.3755,0.10346,0.28122,915.62,0.39864,1.3305,0.28122,0.097106,1.1171,1.1912,0.3511,0.083567,0.4328,0.24201,0.34647,4.9958,2.5532,3.895,0.19445,0.10252,107.89,3.3832,3.3711,0.36226,2.896,,0.24838,0.12509,0.27459,0.067804,0.12124,91.211,90.094,27.304,1.2291,1.2768,0.3327,0.11488,1.2365,0.74893,0.29558,3.5152,3.5152,1416.5,0.12509,0.97436,0.90304,0,326.73,4.0513,94.392,3.8669,40.986,0
0.214,0.44841,0.15833,1.5869,-3.6928,0.063808,0.214,1.2301,1.8007,0.55159,0.22588,0.79326,0.15283,0.214,594.74,0.61372,2.2301,0.214,0.11884,35.008,1.1036,0.22185,0.11884,0.28898,0.24426,0.61372,18.671,0.27685,3.8752,0.23284,0.12544,55.429,6.585,3.9617,0.024251,1.8007,1.4297,0.73023,0.013468,0.11988,0.052807,0.1232,80.22,45.213,1.2391,0.94669,35.486,0.16066,0.08922,0.95472,0.26977,0.15186,0.96449,1.2768,1187.8,0.013468,0.38797,0.89332,0.32385,10.426,8.073,54.683,6.6749,3.1487,0
0.009844,0.17584,0.22762,2.52,11.796,0.066778,0.014207,4.6868,0.97315,0.82415,0.014207,0.09487,0.081834,0.014207,1397.5,0.26119,5.6868,0.014207,0.025313,125.94,1.1139,0.008452,0.01754,0.084604,0.82415,0.23638,0.14654,0.36557,4.4172,0.28486,0.025313,94.773,3.8513,0.048063,0.008452,0.59647,7.0396,0.85025,0.015059,0.21423,0.1439,0.015059,224.55,98.615,0.050834,1.2268,122.56,-0.023271,-0.041463,2.146,0.14975,0.25965,1.3237,1.3656,5949,-0.027589,0.011944,1.0276,0.031666,2.8982,3.7013,97.388,3.7479,0.90139,0
0.13164,0.62145,0.56063,4.0465,287.51,0.13164,0.16543,0.60913,1.2517,0.37855,0.16543,0.89898,0.2645,0.16543,1082.9,0.33706,1.6091,0.16543,0.2089,38.68,,0.15897,0.16623,0.16543,0.37855,0.28267,2.5127,2.1956,4.1177,0.16703,0.2089,106.17,3.4379,0.2558,0.15897,0.81474,1.5105,0.81598,0.20074,2.6941,0.10065,0.20074,114.7,76.025,1.5686,3.5905,48.416,0.11493,0.14514,1.1982,0.18402,0.29087,1.4825,3.1956,7351.5,0.2011,0.34774,0.7989,1.1555,9.4365,4.801,84.818,4.3033,3.1013,0
